16:03:05 INFO  testCases.AccountOverviewTest - Selected account number from the dropdown
16:03:05 INFO  testCases.AccountOverviewTest - Clicking the Create new account number button
16:03:08 INFO  testCases.AccountOverviewTest - Validating the success message
16:03:08 INFO  testCases.AccountOverviewTest - Test is passed
16:03:08 INFO  testCases.AccountOverviewTest - * finished AccountOverviewTest-TC008_verify_create_new_Acc *
16:03:08 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC009_verify_created_Acc_inThe_Overview *
16:03:08 INFO  testCases.AccountOverviewTest - Opening account overview
16:03:11 INFO  testCases.AccountOverviewTest - Verify the newly created acc no in the overview table
16:03:12 INFO  testCases.AccountOverviewTest - -->[2023-03-07/16:03:12] Finished test automation <--
16:11:25 INFO  testCases.AccountOverviewTest - -->[2023-03-07/16:11:25] Starting the test automation <--
16:11:33 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC007_verify_account_overview *
16:11:33 INFO  testCases.AccountOverviewTest - Registering new user
16:11:35 INFO  testCases.AccountOverviewTest - Opened account overview page
16:11:38 INFO  testCases.AccountOverviewTest - Validating the total balance
16:11:38 INFO  testCases.AccountOverviewTest - Test is passed
16:11:38 INFO  testCases.AccountOverviewTest - * finished AccountOverviewTest-TC007_verify_account_overview *
16:11:38 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC008_verify_create_new_Acc *
16:11:38 INFO  testCases.AccountOverviewTest - Creating new account
16:11:41 INFO  testCases.AccountOverviewTest - Selected account type from the dropdown
16:11:44 INFO  testCases.AccountOverviewTest - Selected account number from the dropdown
16:11:44 INFO  testCases.AccountOverviewTest - Clicking the Create new account number button
16:11:48 INFO  testCases.AccountOverviewTest - Validating the success message
16:11:48 INFO  testCases.AccountOverviewTest - Test is passed
16:11:48 INFO  testCases.AccountOverviewTest - * finished AccountOverviewTest-TC008_verify_create_new_Acc *
16:11:48 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC009_verify_created_Acc_inThe_Overview *
16:11:48 INFO  testCases.AccountOverviewTest - Opening account overview
16:11:51 INFO  testCases.AccountOverviewTest - Verify the newly created acc no in the overview table
16:11:53 INFO  testCases.AccountOverviewTest - -->[2023-03-07/16:11:53] Finished test automation <--
17:13:48 INFO  testCases.AccountOverviewTest - -->[2023-03-07/17:13:48] Starting the test automation <--
17:13:58 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC007_verify_account_overview *
17:13:58 INFO  testCases.AccountOverviewTest - Registering new user
17:14:03 INFO  testCases.AccountOverviewTest - Opened account overview page
17:14:06 INFO  testCases.AccountOverviewTest - Validating the total balance
17:14:07 INFO  testCases.AccountOverviewTest - Test is passed
17:14:07 INFO  testCases.AccountOverviewTest - * finished AccountOverviewTest-TC007_verify_account_overview *
17:14:07 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC008_verify_create_new_Acc *
17:14:07 INFO  testCases.AccountOverviewTest - Creating new account
17:14:10 INFO  testCases.AccountOverviewTest - Selected account type from the dropdown
17:14:13 INFO  testCases.AccountOverviewTest - Selected account number from the dropdown
17:14:13 INFO  testCases.AccountOverviewTest - Clicking the Create new account number button
17:14:16 INFO  testCases.AccountOverviewTest - Validating the success message
17:14:16 INFO  testCases.AccountOverviewTest - Test is passed
17:14:16 INFO  testCases.AccountOverviewTest - * finished AccountOverviewTest-TC008_verify_create_new_Acc *
17:14:16 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC009_verify_created_Acc_inThe_Overview *
17:14:16 INFO  testCases.AccountOverviewTest - Opening account overview
17:14:20 INFO  testCases.AccountOverviewTest - Verify the newly created acc no in the overview table
